start;end;sleep_quality;regularity;mood;heart_rate_bpm;steps;alarm_mode;air_pressure_pa;city;movements_per_hour;time_in_bed_seconds;time_asleep_seconds;time_before_sleep_seconds;window_start;window_stop;did_snore;snore_time;weather_temperature_c;weather_type;notes
2017-07-03T02:59:10Z;2017-07-03T10:40:36Z;82%;83%;Bom;42;2005;Normal;0.0;Rio de Janeiro;29.6;27686.0;25194.3;922.9;2017-07-03T10:25:00Z;2017-07-03T10:40:00Z;FALSE;0.0;18.6;Rainy showers;NA
2017-07-04T02:09:58Z;2017-07-04T09:30:41Z;83%;79%;Bom;55;6662;Normal;0.0;Rio de Janeiro;21.8;26443.7;25914.8;528.9;2017-07-04T09:15:00Z;2017-07-04T09:30:00Z;FALSE;0.0;18.9;Sunny;NA
2017-07-05T01:51:00Z;2017-07-05T09:30:02Z;69%;86%;Bom;65;4349;Normal;0.0;Rio de Janeiro;50.5;27542.1;21941.9;1468.9;2017-07-05T09:15:00Z;2017-07-05T09:30:00Z;FALSE;0.0;19.2;Fair;NA
2017-07-06T03:05:24Z;2017-07-06T10:00:17Z;73%;89%;Bom;53;8905;Normal;0.0;Rio de Janeiro;31.1;24892.9;21241.9;3651.0;2017-07-06T09:45:00Z;2017-07-06T10:00:00Z;FALSE;0.0;19.6;Fair;NA
2017-07-07T03:39:41Z;2017-07-07T10:50:02Z;67%;90%;Bom;51;4305;Normal;0.0;Rio de Janeiro;47.8;25820.4;21689.1;516.4;2017-07-07T10:35:00Z;2017-07-07T10:50:00Z;FALSE;0.0;20.9;Fair;NA
2017-07-08T04:49:47Z;2017-07-08T11:55:59Z;50%;85%;Bom;79;6467;No alarm;0.0;Rio de Janeiro;88.5;25572.4;23270.8;511.4;NA;NA;FALSE;0.0;0.0;No weather;NA
2017-07-09T03:03:36Z;2017-07-09T10:12:36Z;78%;80%;NA;0;1135;No alarm;0.0;Rio de Janeiro;28.8;25740.0;25225.2;514.8;NA;NA;FALSE;0.0;0.0;No weather;NA
2017-07-10T00:56:15Z;2017-07-10T07:10:09Z;75%;70%;Bom;48;1057;Normal;0.0;Rio de Janeiro;8.3;22433.7;17274.0;3215.5;2017-07-10T06:55:00Z;2017-07-10T07:10:00Z;FALSE;0.0;18.2;Sunny;NA
2017-07-11T02:56:37Z;2017-07-11T11:00:35Z;79%;60%;Bom;52;5376;Normal;0.0;Rio de Janeiro;45.3;29037.3;23520.2;2613.4;2017-07-11T10:45:00Z;2017-07-11T11:00:00Z;FALSE;0.0;22.0;Sunny;NA
2017-07-12T02:24:39Z;2017-07-12T10:54:49Z;79%;68%;Mau;70;6766;Normal;0.0;Rio de Janeiro;52.5;30609.9;25202.1;3367.1;2017-07-12T10:45:00Z;2017-07-12T11:00:00Z;FALSE;0.0;21.9;Sunny;NA
2017-07-13T02:28:05Z;2017-07-13T10:19:56Z;88%;80%;Bom;57;5406;Normal;0.0;Rio de Janeiro;22.9;28311.2;24064.5;566.2;2017-07-13T10:05:00Z;2017-07-13T10:20:00Z;FALSE;0.0;21.4;Fair;NA
2017-07-14T03:03:34Z;2017-07-14T10:29:53Z;77%;94%;NA;0;7033;Normal;0.0;Rio de Janeiro;35.5;26779.6;22584.1;1517.5;2017-07-14T10:15:00Z;2017-07-14T10:30:00Z;FALSE;0.0;21.0;Sunny;NA
2017-07-15T03:17:43Z;2017-07-15T13:11:08Z;75%;88%;Bom;64;5922;No alarm;0.0;Rio de Janeiro;68.0;35604.8;31450.9;712.1;NA;NA;FALSE;0.0;0.0;No weather;NA
2017-07-16T04:44:16Z;2017-07-16T14:04:13Z;83%;83%;Bom;79;928;No alarm;NA;Rio de Janeiro;130.3;33597.0;0.0;0.0;NA;NA;TRUE;127.0;0.0;No weather;NA
2017-07-17T01:41:38Z;2017-07-17T09:50:21Z;89%;65%;Bom;59;975;Normal;0.0;Rio de Janeiro;27.3;29323.5;28737.0;586.5;2017-07-17T09:35:00Z;2017-07-17T09:50:00Z;FALSE;0.0;22.8;Sunny;NA
2017-07-18T03:20:35Z;2017-07-18T11:30:16Z;87%;64%;Bom;53;7430;Normal;0.0;Rio de Janeiro;31.2;29381.3;28304.0;1077.3;2017-07-18T11:15:00Z;2017-07-18T11:30:00Z;FALSE;0.0;20.2;Fair;NA
2017-07-19T00:53:25Z;2017-07-19T07:00:25Z;63%;51%;Bom;50;4761;Normal;0.0;Rio de Janeiro;36.9;22019.7;19157.1;2862.6;2017-07-19T06:45:00Z;2017-07-19T07:00:00Z;FALSE;0.0;17.3;Rain;NA
2017-07-19T08:09:11Z;2017-07-19T09:17:38Z;15%;0%;NA;0;152;Normal;0.0;Rio de Janeiro;0.0;4107.4;0.0;0.0;2017-07-19T09:10:00Z;2017-07-19T09:25:00Z;FALSE;0.0;18.2;Rain;NA
2017-07-20T03:30:40Z;2017-07-20T11:00:32Z;77%;53%;Bom;55;7072;Normal;NA;NA;93.6;26991.1;0.0;0.0;2017-07-20T10:45:00Z;2017-07-20T11:00:00Z;TRUE;0.0;20.8;Sunny;NA
2017-07-21T03:21:07Z;2017-07-21T06:38:58Z;38%;50%;NA;0;3910;Normal;NA;Rio de Janeiro;55.2;11870.3;0.0;0.0;2017-07-21T11:05:00Z;2017-07-21T11:20:00Z;TRUE;0.0;0.0;No weather;NA
2017-07-23T01:31:06Z;2017-07-23T13:55:01Z;78%;43%;Bom;59;1588;No alarm;NA;Rio de Janeiro;149.4;44634.6;0.0;0.0;NA;NA;TRUE;0.0;0.0;No weather;NA
2017-07-24T03:17:12Z;2017-07-24T10:19:36Z;62%;40%;Bom;57;3652;Normal;NA;Rio de Janeiro;146.6;25343.4;0.0;0.0;2017-07-24T10:05:00Z;2017-07-24T10:20:00Z;TRUE;0.0;21.4;Sunny;NA
2017-07-25T02:26:32Z;2017-07-25T08:24:08Z;58%;66%;NA;0;8304;Normal;NA;Rio de Janeiro;115.3;21456.1;0.0;0.0;2017-07-25T10:15:00Z;2017-07-25T10:30:00Z;TRUE;0.0;0.0;No weather;NA
2017-07-25T08:27:20Z;2017-07-25T10:27:27Z;14%;0%;Bom;53;0;Normal;NA;Rio de Janeiro;245.6;7206.2;0.0;0.0;2017-07-25T10:15:00Z;2017-07-25T10:30:00Z;TRUE;0.0;23.0;Sunny;NA
2017-07-26T03:12:40Z;2017-07-26T08:35:14Z;62%;75%;Bom;62;7262;Normal;0.0;Rio de Janeiro;18.7;19354.1;17676.7;387.1;2017-07-26T08:20:00Z;2017-07-26T08:35:00Z;FALSE;0.0;19.4;Fair;NA
2017-07-27T02:25:59Z;2017-07-27T11:02:33Z;84%;81%;Bom;0;6335;Normal;NA;Rio de Janeiro;124.8;30994.4;0.0;0.0;2017-07-27T10:45:00Z;2017-07-27T11:00:00Z;TRUE;0.0;22.0;Sunny;NA
2017-07-28T04:25:21Z;2017-07-28T11:00:18Z;69%;83%;Bom;49;5881;Normal;NA;Rio de Janeiro;94.4;23696.8;0.0;0.0;2017-07-28T10:45:00Z;2017-07-28T11:00:00Z;TRUE;0.0;22.0;Partly cloudy;NA
2017-07-30T04:48:41Z;2017-07-30T13:41:45Z;92%;79%;Bom;81;1943;No alarm;NA;Rio de Janeiro;102.0;31984.5;0.0;0.0;NA;NA;TRUE;862.0;0.0;No weather;NA
